id,product_name,console,condition,status,saved_selected_market_value,saved_price_loose,saved_price_cib,pc_loose,pc_cib,pc_new,pc_graded,pc_selected_market_value,delta_selected,pc_product_id,pc_product_name,pc_platform,match_strategy,flag
77fe5075-6232-46e4-97e3-fbedb45dca11,MLB 2004,PlayStation 2,CIB,available,6.98,3.63,6.98,3.63,0,0,0,0,-6.98,5474,MLB 2004,Playstation 2,upc,ok
ba6f014d-e52b-4da5-ac5d-6faf7dc2e578,Mobile Suit Gundam Climax U.C,PlayStation 2,CIB,available,18.44,8.61,18.44,8.61,0,0,0,0,-18.44,63549,Mobile Suit Gundam Climax U.C,JP Playstation 2,stored_id,ok
fcf65f0e-5e5d-486c-8ba4-a1add0f9d5a3,Monster 4x4: Stunt Racer,Wii,CIB,available,7.88,4.49,7.88,4.49,0,0,0,0,-7.88,19876,Monster 4x4: Stunt Racer,Wii,title_platform,ok
f951a3cd-95ad-40aa-8ed4-40247799a66f,Monster High: Ghoul Spirit,Wii,CIB,available,8.68,6.65,8.68,6.65,0,0,0,0,-8.68,31835,Monster High: Ghoul Spirit,Wii,stored_id,ok
d9e8a285-4c95-4246-ba14-a0a9abe5762d,Motionsports: Adrenaline,PlayStation 3,CIB,available,6.31,5.99,6.31,5.99,0,0,0,0,-6.31,32183,Motionsports: Adrenaline,Playstation 3,title_only,ok
9ccbd222-3c6b-4116-b0ab-339faa5d2fc1,MVP Baseball 2004,PlayStation 2,CIB,available,5.71,3.57,5.71,3.57,0,0,0,0,-5.71,5513,MVP Baseball 2004,Playstation 2,upc,ok
523a3746-3996-4519-bb78-bcc0573faf7a,Naruto: Narutimate Hero,PlayStation 2,CIB,available,7.83,6.14,7.83,10.5,0,0,0,0,-7.83,2064631,Naruto: Narutimate Hero 3,JP Playstation 2,title_platform,ok
ece9e89e-9eae-451c-91ad-6cf498cd5703,Naruto: Narutimate Hero,PlayStation 2,CIB,available,7.83,6.14,7.83,10.5,0,0,0,0,-7.83,2064631,Naruto: Narutimate Hero 3,JP Playstation 2,title_platform,ok
04d99793-0a2e-4827-bd04-fc3e75424161,NASCAR 07,PlayStation 2,CIB,available,6.24,5.65,6.24,5.65,0,0,0,0,-6.24,5531,NASCAR 07,Playstation 2,stored_id,ok
8e43bf6d-30e8-4c0b-8a19-a711f74a68ab,NASCAR Chase for the Cup 2005,PlayStation 2,CIB,available,9.74,5.48,9.74,5.21,0,0,0,0,-9.74,5532,NASCAR Chase for the Cup 2005,Playstation 2,title_only,ok
3f5a0ec0-768b-44f3-aec2-4582da512cc7,NASCAR Racing,PlayStation,CIB,available,7.46,4.3,7.46,4.6,0,0,0,0,-7.46,14583,NASCAR Racing,Playstation,stored_id,ok
1fde6c72-93a4-49ac-b65b-e6be42f7bb93,NBA 2K11,PlayStation 3,CIB,available,7.23,7.21,7.23,5.73,0,0,0,0,-7.23,22101,NBA 2K11,Playstation 3,title_platform,ok
e03c6acf-4e93-4456-b81a-ca0e472df362,NBA 2K11,PlayStation 3,CIB,available,7.73,5.73,7.73,5.73,0,0,0,0,-7.73,22101,NBA 2K11,Playstation 3,title_only,ok
bc4e459c-8c0b-4ef1-b421-e7a1bddc043a,NBA 2K11,PlayStation 3,CIB,available,7.97,6.54,7.97,5.73,0,0,0,0,-7.97,22101,NBA 2K11,Playstation 3,stored_id,ok
